algorithm_name,env_n,size,best_solution,H,states,time
GA,9,8,"[7, 2, 0, 5, 1, 4, 6, 3]",0,680,0.012636
GA,10,8,"[3, 5, 7, 1, 6, 0, 2, 4]",0,368,0.006906
GA,11,8,"[3, 5, 7, 2, 0, 6, 4, 1]",0,108,0.001649
GA,12,8,"[5, 3, 1, 7, 4, 6, 0, 2]",0,264,0.004535
GA,13,8,"[2, 5, 1, 4, 7, 0, 6, 3]",0,732,0.013525
GA,14,8,"[5, 2, 0, 6, 4, 7, 1, 3]",0,108,0.001664
GA,15,8,"[4, 2, 7, 3, 6, 0, 5, 1]",0,368,0.006401
GA,16,8,"[4, 1, 3, 6, 2, 7, 5, 0]",0,212,0.003603
GA,17,8,"[3, 7, 0, 2, 5, 1, 6, 4]",0,420,0.007011
GA,18,8,"[2, 6, 1, 7, 4, 0, 3, 5]",0,628,0.010692
GA,19,8,"[3, 0, 4, 7, 5, 2, 6, 1]",0,108,0.001547
GA,20,8,"[4, 7, 3, 0, 6, 1, 5, 2]",0,264,0.004285
GA,21,8,"[2, 5, 3, 0, 7, 4, 6, 1]",0,212,0.003365
GA,22,8,"[5, 0, 4, 1, 7, 2, 6, 3]",0,108,0.001544
GA,23,8,"[6, 3, 1, 4, 7, 0, 2, 5]",0,940,0.015794
GA,24,8,"[6, 2, 0, 5, 7, 4, 1, 3]",0,316,0.004999
GA,25,8,"[4, 1, 3, 5, 7, 2, 0, 6]",0,160,0.002337
GA,26,8,"[3, 7, 4, 2, 0, 6, 1, 5]",0,108,0.001461
GA,27,8,"[2, 6, 1, 7, 4, 0, 3, 5]",0,368,0.006272
GA,28,8,"[2, 5, 7, 0, 3, 6, 4, 1]",0,316,0.005162
GA,29,8,"[5, 2, 4, 7, 0, 3, 1, 6]",0,108,0.001529
GA,30,8,"[3, 7, 0, 2, 5, 1, 6, 4]",0,472,0.007912
GA,1,10,"[7, 0, 4, 6, 8, 5, 3, 1, 9, 2]",1,2995,0.061978
GA,2,10,"[3, 5, 2, 8, 1, 7, 4, 6, 9, 0]",0,1045,0.020568
GA,3,10,"[0, 7, 4, 1, 8, 2, 9, 6, 3, 5]",0,1240,0.025045
GA,4,10,"[2, 6, 1, 7, 5, 0, 9, 4, 8, 3]",0,200,0.003735
GA,5,10,"[1, 6, 9, 5, 0, 8, 4, 2, 7, 3]",0,200,0.003734
GA,6,10,"[5, 2, 4, 7, 0, 8, 3, 1, 6, 9]",0,915,0.018641
GA,7,10,"[7, 3, 1, 9, 4, 6, 0, 2, 5, 8]",1,2995,0.059167
GA,8,10,"[8, 3, 1, 7, 2, 0, 6, 4, 9, 5]",0,525,0.010260
GA,9,10,"[8, 4, 1, 7, 5, 2, 0, 9, 3, 6]",1,2995,0.064232
GA,10,10,"[7, 0, 4, 8, 1, 3, 6, 2, 9, 5]",0,1110,0.026135
GA,11,10,"[1, 6, 4, 7, 0, 3, 9, 2, 5, 8]",0,460,0.011093
GA,12,10,"[6, 3, 0, 7, 5, 2, 9, 1, 4, 8]",0,525,0.011849
GA,13,10,"[1, 4, 6, 0, 9, 5, 8, 2, 7, 3]",0,590,0.013692
GA,14,10,"[6, 2, 0, 7, 4, 8, 5, 9, 1, 3]",0,850,0.019860
GA,15,10,"[3, 7, 2, 4, 8, 0, 5, 9, 1, 6]",0,590,0.014032
GA,16,10,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,525,0.012689
GA,17,10,"[1, 6, 9, 3, 0, 7, 4, 2, 5, 8]",0,1760,0.042707
GA,18,10,"[9, 2, 5, 3, 6, 0, 7, 1, 4, 8]",1,2995,0.074077
